Date,Description,Credit,Debit,Balance
27/03/2026,TRANSFER | UPI20260327000115122 | Mubaraq Basha | AIRP0000001/917676142936 | Sent using Paytm UPI | U@0613267,,57.00,"18,076.06"
26/03/2026,TRANSFER | UPI20260326000535783 | Thanushree N | U@0761241,,46.00,"18,133.06"
26/03/2026,TRANSFER | UPI20260326000528291 | CHIDANAND R HIREMATH | U@0464543,,80.00,"18,179.06"
26/03/2026,TRANSFER | UPI20260326000446188 | Bangalore Metro Rail Corporation Lt | U@0852912,,100.00,"18,259.06"
26/03/2026,TRANSFER | UPI20260326000386584 | Mrs RANI K | U@0744376,,15.00,"18,359.06"
26/03/2026,TRANSFER | UPI20260326000375666 | CRED Club | U@0652612,,"49,833.75","18,374.06"
26/03/2026,TRANSFER | UPI20260326000371064 | SOUNDARYA L | U@0444489,,80.00,"68,207.81"
26/03/2026,TRANSFER | UPI20260326000297285 | LOKESHA NAIK | U@0640974,,58.00,"68,287.81"
26/03/2026,TRANSFER | UPI20260326000221455 | BMTC BUS KA51AK4202 | U@0725334,,18.00,"68,345.81"
25/03/2026,TRANSFER | UPI20260325000452903 | Jio | U@0152844,,902.00,"68,363.81"
25/03/2026,TRANSFER | UPI20260325000436848 | Raja Kumar Ram | U@0151004,,437.00,"69,265.81"
25/03/2026,TRANSFER | UPI20260325000290759 | YASAR ARFATH KHAN | U@0537375,,309.00,"69,702.81"
23/03/2026,TRANSFER | UPI20260323001110752 | KARTHIK H N | U@0942198,"70,000.00",,"70,011.81"
20/03/2026,TRANSFER | UPI20260320000504147 | PUNARVI P | U@0361798,,363.00,11.81
20/03/2026,TRANSFER | UPI20260320000378025 | MOHAMMAD IBRAHIM | U@0247417,,56.00,374.81
20/03/2026,TRANSFER | UPI20260320000325163 | BMTC BUS KA57F4916 | U@0639389,,15.00,430.81
20/03/2026,TRANSFER | UPI20260320000319375 | BMTC BUS KA51AK7322 | U@0735706,,6.00,445.81
20/03/2026,TRANSFER | UPI20260320000293798 | THE AMRITH CAFE | U@0834212,,60.00,451.81
20/03/2026,TRANSFER | UPI20260320000263503 | ROHITH K H | U@0829801,500.00,,511.81
20/03/2026,TRANSFER | UPI20260320000245873 | RAGHAVENDRA TIFFIN | U@0533677,,60.00,11.81
20/03/2026,TRANSFER | UPI20260320000112673 | BMTC BUS KA57F4923 | U@0814340,,16.00,71.81
18/03/2026,TRANSFER | UPI20260318000216812 | RAGHAVENDRA TIFFIN | U@0727926,,50.00,87.81
18/03/2026,TRANSFER | UPI20260318000090570 | MALAPPA SO SHIVANNA | U@0312571,,54.00,137.81
17/03/2026,TRANSFER | UPI20260317000400638 | Pramod E U | U@0251447,,70.00,191.81
16/03/2026,TRANSFER | UPI20260316001587085 | NABIRASUL | U@0994207,,40.00,261.81
15/03/2026,TRANSFER | UPI20260316001286085 | KARTHIK H N | U@1655790,300.00,,301.81
13/03/2026,TRANSFER | UPI20260313000078809 | YALLALING | U@0311236,,60.00,1.81
12/03/2026,TRANSFER | UPI20260312000143515 | KARTHIK H N | U@0217547,,150.00,61.81
12/03/2026,TRANSFER | UPI20260312000142719 | RAVICHANDRA U | U@0319871,200.00,,211.81
12/03/2026,TRANSFER | UPI20260312000041629 | NABIRASUL | U@0505700,,25.00,11.81
11/03/2026,TRANSFER | UPI20260311000649669 | NABIRASUL | U@0882038,,41.00,36.81
11/03/2026,TRANSFER | UPI20260311000595271 | M G SRINIVASA | U@0573904,,46.00,77.81
11/03/2026,TRANSFER | UPI20260311000590810 | KARTHIK H N | U@0173512,50.00,,123.81
11/03/2026,TRANSFER | UPI20260311000589311 | VARSHITHA N N VARSHITHA | U@0772485,,11.00,73.81
11/03/2026,TRANSFER | UPI20260311000506435 | Bangalore Metro Rail Corporation Lt | U@0659212,,50.00,62.81
11/03/2026,TRANSFER | UPI20260311000424294 | KARTHIK H N | U@0552549,,80.00,112.81
10/03/2026,TRANSFER | UPI20260310000445527 | SETHURAMU S R | U@0354097,,90.00,32.81
09/03/2026,TRANSFER | UPI20260309001395000 | D G NARAYANA | U@1564702,,100.00,122.81
08/03/2026,TRANSFER | UPI20260309000679118 | MIAMI SUPERMARKET | U@0687835,,82.00,22.81
08/03/2026,TRANSFER | UPI20260309000577065 | KARTHIK H N | U@0565592,100.00,,104.81
08/03/2026,TRANSFER | UPI20260309000065195 | NABIRASUL | U@0108371,,36.00,4.81
07/03/2026,TRANSFER | UPI20260307000337910 | ETERNAL LIMITED | U@0840893,,186.65,40.81
06/03/2026,TRANSFER | UPI20260306000393416 | JANAPRIYA STORE | U@0146272,,50.00,227.46
06/03/2026,TRANSFER | UPI20260306000359821 | Parkash Sirvi | U@0540944,,30.00,277.46
06/03/2026,TRANSFER | UPI20260306000352881 | KARTHIK H N | U@0844036,70.00,,307.46
06/03/2026,TRANSFER | UPI20260306000349246 | KARTHIK H N | U@0140774,130.00,,237.46
05/03/2026,TRANSFER | UPI20260305000665793 | NABIRASUL | U@0383377,,10.00,107.46
05/03/2026,TRANSFER | UPI20260305000665210 | NABIRASUL | U@0481299,,20.00,117.46
05/03/2026,TRANSFER | UPI20260305000660720 | MANJUNATH C P | U@0480979,,65.00,137.46
05/03/2026,TRANSFER | UPI20260305000657851 | Shree Ranganatha Vegetables Store | U@0176913,,10.00,202.46
05/03/2026,TRANSFER | UPI20260305000655522 | Shree Ranganatha Vegetables Store | U@0880977,,80.00,212.46
05/03/2026,TRANSFER | UPI20260305000640580 | Mr ANJANEYA D T | U@0580599,,20.00,292.46
05/03/2026,TRANSFER | UPI20260305000528320 | D G NARAYANA | U@0759825,,200.00,312.46
05/03/2026,TRANSFER | UPI20260305000417345 | H R SRINIVASA | U@0746754,,47.00,112.46
05/03/2026,TRANSFER | UPI20260305000407732 | CHIDANAND R HIREMATH | U@0450211,,50.00,159.46
05/03/2026,TRANSFER | UPI20260305000112407 | Bangalore Metro Rail Corporation Lt | U@0614415,,150.00,209.46
05/03/2026,TRANSFER | UPI20260305000111296 | KRISHNEGOWDA M B | U@0513353,,46.00,359.46
05/03/2026,TRANSFER | UPI20260305000092194 | KARTHIK H N | U@0310954,,200.00,405.46
04/03/2026,TRANSFER | UPI20260304000475022 | ZOMATO | U@0361532,,254.15,205.46
04/03/2026,TRANSFER | ECS-BD-IndusindBankLoan | TIAJ13227787 | Z@ED32391,,"11,377.00",459.61
03/03/2026,TRANSFER | UPI CR For | 02-Mar-26 | U | ILME14583,,40.00,"11,836.61"
03/03/2026,TRANSFER | UPI20260303002086721 | Burger King India | U@1858468,,124.92,"11,796.61"
03/03/2026,TRANSFER | UPI20260303001916191 | Burger King | U@1838785,,145.92,"11,921.53"
03/03/2026,TRANSFER | UPI20260303001826316 | Burger King | U@2129318,,156.42,"12,067.45"
