Date,Description,Credit,Debit,Balance
27/03/2026,TRANSFER | UPI20260327000115122 | Mubaraq Basha | AIRP0000001/917676142936 | Sent using Paytm UPI | U@0613267,,57.00,"89,704.24"
26/03/2026,TRANSFER | UPI20260326000535783 | Thanushree N | U@0761241,,46.00,"89,761.24"
26/03/2026,TRANSFER | UPI20260326000528291 | CHIDANAND R HIREMATH | U@0464543,,80.00,"89,807.24"
26/03/2026,TRANSFER | UPI20260326000446188 | Bangalore Metro Rail Corporation Lt | U@0852912,,100.00,"89,887.24"
26/03/2026,TRANSFER | UPI20260326000386584 | Mrs RANI K | U@0744376,,15.00,"89,987.24"
26/03/2026,TRANSFER | UPI20260326000375666 | CRED Club | U@0652612,,49833.75,"90,002.24"
26/03/2026,TRANSFER | UPI20260326000371064 | SOUNDARYA L | U@0444489,,80.00,"139,835.99"
26/03/2026,TRANSFER | UPI20260326000297285 | LOKESHA NAIK | U@0640974,,58.00,"139,915.99"
26/03/2026,TRANSFER | UPI20260326000221455 | BMTC BUS KA51AK4202 | U@0725334,,18.00,"139,973.99"
25/03/2026,TRANSFER | UPI20260325000452903 | Jio | U@0152844,,902.00,"139,991.99"
25/03/2026,TRANSFER | UPI20260325000436848 | Raja Kumar Ram | U@0151004,,437.00,"140,893.99"
25/03/2026,TRANSFER | UPI20260325000290759 | YASAR ARFATH KHAN | U@0537375,,309.00,"141,330.99"
23/03/2026,TRANSFER | UPI20260323001110752 | KARTHIK H N | U@0942198,70000.00,,"141,639.99"
20/03/2026,TRANSFER | UPI20260320000504147 | PUNARVI P | U@0361798,,363.00,"71,639.99"
20/03/2026,TRANSFER | UPI20260320000378025 | MOHAMMAD IBRAHIM | U@0247417,,56.00,"72,002.99"
20/03/2026,TRANSFER | UPI20260320000325163 | BMTC BUS KA57F4916 | U@0639389,,15.00,"72,058.99"
20/03/2026,TRANSFER | UPI20260320000319375 | BMTC BUS KA51AK7322 | U@0735706,,6.00,"72,073.99"
20/03/2026,TRANSFER | UPI20260320000293798 | THE AMRITH CAFE | U@0834212,,60.00,"72,079.99"
20/03/2026,TRANSFER | UPI20260320000263503 | ROHITH K H | U@0829801,500.00,,"72,139.99"
20/03/2026,TRANSFER | UPI20260320000245873 | RAGHAVENDRA TIFFIN | U@0533677,,60.00,"71,639.99"
20/03/2026,TRANSFER | UPI20260320000112673 | BMTC BUS KA57F4923 | U@0814340,,16.00,"71,699.99"
18/03/2026,TRANSFER | UPI20260318000216812 | RAGHAVENDRA TIFFIN | U@0727926,,50.00,"71,715.99"
18/03/2026,TRANSFER | UPI20260318000090570 | MALAPPA SO SHIVANNA | U@0312571,,54.00,"71,765.99"
17/03/2026,TRANSFER | UPI20260317000400638 | Pramod E U | U@0251447,,70.00,"71,819.99"
16/03/2026,TRANSFER | UPI20260316001587085 | NABIRASUL | U@0994207,,40.00,"71,889.99"
15/03/2026,TRANSFER | UPI20260316001286085 | KARTHIK H N | U@1655790,300.00,,"71,929.99"
13/03/2026,TRANSFER | UPI20260313000078809 | YALLALING | U@0311236,,60.00,"71,629.99"
12/03/2026,TRANSFER | UPI20260312000143515 | KARTHIK H N | U@0217547,,150.00,"71,689.99"
12/03/2026,TRANSFER | UPI20260312000142719 | RAVICHANDRA U | U@0319871,200.00,,"71,839.99"
12/03/2026,TRANSFER | UPI20260312000041629 | NABIRASUL | U@0505700,,25.00,"71,639.99"
11/03/2026,TRANSFER | UPI20260311000649669 | NABIRASUL | U@0882038,,41.00,"71,664.99"
11/03/2026,TRANSFER | UPI20260311000595271 | M G SRINIVASA | U@0573904,,46.00,"71,705.99"
11/03/2026,TRANSFER | UPI20260311000590810 | KARTHIK H N | U@0173512,50.00,,"71,751.99"
11/03/2026,TRANSFER | UPI20260311000589311 | VARSHITHA N N VARSHITHA | U@0772485,,11.00,"71,701.99"
11/03/2026,TRANSFER | UPI20260311000506435 | Bangalore Metro Rail Corporation Lt | U@0659212,,50.00,"71,712.99"
11/03/2026,TRANSFER | UPI20260311000424294 | KARTHIK H N | U@0552549,,80.00,"71,762.99"
10/03/2026,TRANSFER | UPI20260310000445527 | SETHURAMU S R | U@0354097,,90.00,"71,842.99"
09/03/2026,TRANSFER | UPI20260309001395000 | D G NARAYANA | U@1564702,,100.00,"71,932.99"
08/03/2026,TRANSFER | UPI20260309000679118 | MIAMI SUPERMARKET | U@0687835,,82.00,"72,032.99"
08/03/2026,TRANSFER | UPI20260309000577065 | KARTHIK H N | U@0565592,100.00,,"72,114.99"
08/03/2026,TRANSFER | UPI20260309000065195 | NABIRASUL | U@0108371,,36.00,"72,014.99"
07/03/2026,TRANSFER | UPI20260307000337910 | ETERNAL LIMITED | U@0840893,,186.65,"72,050.99"
06/03/2026,TRANSFER | UPI20260306000393416 | JANAPRIYA STORE | U@0146272,,50.00,"72,237.64"
06/03/2026,TRANSFER | UPI20260306000359821 | Parkash Sirvi | U@0540944,,30.00,"72,287.64"
06/03/2026,TRANSFER | UPI20260306000352881 | KARTHIK H N | U@0844036,70.00,,"72,317.64"
06/03/2026,TRANSFER | UPI20260306000349246 | KARTHIK H N | U@0140774,130.00,,"72,247.64"
05/03/2026,TRANSFER | UPI20260305000665793 | NABIRASUL | U@0383377,,10.00,"72,117.64"
05/03/2026,TRANSFER | UPI20260305000665210 | NABIRASUL | U@0481299,,20.00,"72,127.64"
05/03/2026,TRANSFER | UPI20260305000660720 | MANJUNATH C P | U@0480979,,65.00,"72,147.64"
05/03/2026,TRANSFER | UPI20260305000657851 | Shree Ranganatha Vegetables Store | U@0176913,,10.00,"72,212.64"
05/03/2026,TRANSFER | UPI20260305000655522 | Shree Ranganatha Vegetables Store | U@0880977,,80.00,"72,222.64"
05/03/2026,TRANSFER | UPI20260305000640580 | Mr ANJANEYA D T | U@0580599,,20.00,"72,302.64"
05/03/2026,TRANSFER | UPI20260305000528320 | D G NARAYANA | U@0759825,,200.00,"72,322.64"
05/03/2026,TRANSFER | UPI20260305000417345 | H R SRINIVASA | U@0746754,,47.00,"72,522.64"
05/03/2026,TRANSFER | UPI20260305000407732 | CHIDANAND R HIREMATH | U@0450211,,50.00,"72,569.64"
05/03/2026,TRANSFER | UPI20260305000112407 | Bangalore Metro Rail Corporation Lt | U@0614415,,150.00,"72,619.64"
05/03/2026,TRANSFER | UPI20260305000111296 | KRISHNEGOWDA M B | U@0513353,,46.00,"72,769.64"
05/03/2026,TRANSFER | UPI20260305000092194 | KARTHIK H N | U@0310954,,200.00,"72,815.64"
04/03/2026,TRANSFER | UPI20260304000475022 | ZOMATO | U@0361532,,254.15,"73,015.64"
04/03/2026,TRANSFER | ECS-BD-IndusindBankLoan | TIAJ13227787 | Z@ED32391,,11377.00,"73,269.79"
03/03/26,SALARY CREDIT,10000,,"84,646.79"
03/03/2026,TRANSFER | UPI CR For | 02-Mar-26 | U | ILME14583,,40.00,"74,646.79"
