Date,Description,Credit,Debit,Balance
27/03/26,TRANSFER | UPI20260327000115122 | 608671693511 | Mubaraq Basha | AIRP0000001/917676142936 | Sent using Paytm UPI | U@0613267,,57,"-27,524.23"
26/03/26,TRANSFER | UPI20260326000535783 | 608502260538 | Thanushree N | U@0761241,,46,"-27,467.23"
26/03/26,TRANSFER | UPI20260326000528291 | 608531138911 | CHIDANAND R HIREMATH | U@0464543,,80,"-27,421.23"
26/03/26,TRANSFER | UPI20260326000446188 | 399619266175 | Bangalore Metro Rail Corporation Lt | U@0852912,,100,"-27,341.23"
26/03/26,TRANSFER | UPI20260326000386584 | 608599549628 | Mrs RANI K | U@0744376,,15,"-27,241.23"
26/03/26,TRANSFER | UPI20260326000375666 | 645110282424 | CRED Club | U@0652612,,49833.75,"-27,226.23"
26/03/26,TRANSFER | UPI20260326000371064 | 202682120238 | SOUNDARYA L | U@0444489,,80,"22,607.52"
26/03/26,TRANSFER | UPI20260326000297285 | 399605835951 | LOKESHA NAIK | U@0640974,,58,"22,687.52"
26/03/26,TRANSFER | UPI20260326000221455 | 608596958567 | BMTC BUS KA51AK4202 | U@0725334,,18,"22,745.52"
25/03/26,TRANSFER | UPI20260325000452903 | 202623173193 | Jio | U@0152844,,902,"22,763.52"
25/03/26,TRANSFER | UPI20260325000436848 | 399557431892 | Raja Kumar Ram | U@0151004,,437,"23,665.52"
25/03/26,TRANSFER | UPI20260325000290759 | 202607961953 | YASAR ARFATH KHAN | U@0537375,,309,"24,102.52"
23/03/26,TRANSFER | UPI20260323001110752 | 608267952523 | KARTHIK H N | U@0942198,70000.00,,"24,411.52"
20/03/26,TRANSFER | UPI20260320000504147 | 202312212690 | PUNARVI P | U@0361798,,363,"-45,588.48"
20/03/26,TRANSFER | UPI20260320000378025 | 607913044900 | MOHAMMAD IBRAHIM | U@0247417,,56,"-45,225.48"
20/03/26,TRANSFER | UPI20260320000325163 | 399261661284 | BMTC BUS KA57F4916 | U@0639389,,15,"-45,169.48"
20/03/26,TRANSFER | UPI20260320000319375 | 399261190576 | BMTC BUS KA51AK7322 | U@0735706,,6,"-45,154.48"
20/03/26,TRANSFER | UPI20260320000293798 | 399259064241 | THE AMRITH CAFE | U@0834212,,60,"-45,148.48"
